酒店名称,星级,地址,评分,酒店描述
丽呈睿轩南京南站酒店,3,中国，江苏，南京，江宁区，董村路39号天琪科技大厦,4.6,酒店拥有百余间舒适温馨的客房，商务会议室，早餐厅，现代休闲的书吧，大型停车场，集住宿、商务会议于一体的。个性化的服务理念及专业的管理团队，可为您提供优质，高效的服务。是您旅游住宿，商务洽谈，朋友聚会的优选。
如家睿柏·云酒店,3,中国，江苏，南京，秦淮区，大石坝街71号,4.6,如家睿柏·云酒店(南京夫子庙景区步行街店)设有多种房型，能够满足您的各种需求。房间宽敞明亮，温馨典雅，每个细节的精心设计，温暖的灯光照耀，时尚的浴室设计，凸显出浪漫的环境氛围
汇丽酒店,2,中国，江苏，南京，秦淮区，解放路42号,4.2,酒店配套齐全，可满足宾客不同的需求。酒店楼高6层，有电梯、独立的大院，停车方便，环境优美、住宿安静，全体员工竭诚欢迎您的入住！酒店楼高6层，有电梯、独立的大院，环境优美、住宿安静，全体员工竭诚欢迎您的入住！
如家酒店·neo,2,中国，江苏，南京，秦淮区，淮海路36号,4.3,酒店秉承如家快捷的三大“统一”性，即统一建筑设施、统一服务、统一硬件设施。酒店内外由名家设计，客房风格简约、别致，设施齐全，为宾客展现的是一个干净、温馨的住宿环境。
莫泰168,2,中国，江苏，南京，秦淮区，平江府路154号,4.7,酒店提供24小时热水、WIFI全覆盖，酒店有免费停车场，是您自驾出游、洗衣房，是您商务出行的理想选择。
南京安其居精品酒店公寓,2,中国，江苏，南京，建邺区，庐山路288号升龙汇金中心2栋106室,4.5,房间都通过精心设计，有多种风格，给您带来舒适优品质感的住宿体验，影音房配有高档投影设备，让您完全置身于影院之中。卫生间配备了纯棉浴巾毛巾，全套洗护用品，、吹风机等。希望您来公寓，我们恭候您的入住！
清沐精选酒店,2,中国，江苏，南京，秦淮区，延龄巷2号,4.4,酒店一楼大厅设有前台和会客区，二楼设有容纳80-100人开会的多功能会议室，三楼有标准房、单人房、豪华套房若干间；交通十分便捷，是旅游、商住、购物的理想之地。
锦江都城酒店,4,中国，江苏，南京，秦淮区，太平南路538、542号,4.7,酒店拥有九十余间舒心典雅的客房，让您足不出户尽可感受南京城市的人文风情，客房配置43寸液晶ITV网络电视、全覆盖高速无线网络供住客免费使用。
花筑·南京市夫子庙秦淮酒店,3,中国，江苏，南京，秦淮区，解放南路八宝东街1号,4.6,酒店客房配套齐全，智能化自动窗帘，优质名牌床品，鸭绒枕芯，记忆睡姿，使您恋上这张床！全网WiFi覆盖，超快网速体验，24小时服务，让您体验不一般的酒店感受。
清沐·尚酒店,4,中国，江苏，南京，秦淮区，洪武路129号,4.7,让您的商务生活起来为商旅顾客带来舒适、超值的入住体验，在静谧优雅环境中得到心灵的释放及家一样的温馨感受。让您工作的驿站变得如此美好与惬意！
